[2026-09-17 00:43:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-09-16T19:13:14.630000+00:00', 'pinned': False, 'nonce': '2551638651394960043', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1548029471481790559'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-09-11T17:56:27.127000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1549860736618991736', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'Results', 'image': {'width': 4800, 'url': 'https://cdn.discordapp.com/attachments/929250944187777106/1549860736216604742/yapometer.png?ex=6aac3bca&is=6aaaea4a&hm=b31773308b2e90a2b5408f12fb52142fa68525bba4e09e24e39c875ad9492f10&', 'proxy_url': 'https://media.discordapp.net/attachments/929250944187777106/1549860736216604742/yapometer.png?ex=6aac3bca&is=6aaaea4a&hm=b31773308b2e90a2b5408f12fb52142fa68525bba4e09e24e39c875ad9492f10&', 'placeholder_version': 1, 'placeholder': 'yfcBBIAEykhpmIiXaJX4lZRfaQ==', 'height': 2700, 'flags': 0, 'description': None, 'content_type': 'image/png'}, 'id': '1549860735675400262', 'description': 'yapping shares (2026-09-17)', 'content_scan_version': 4}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '929250944187777106', 'author': {'vad_colors': None, 'username': 'Yapometer', 'public_flags': 0, 'primary_guild': None, 'id': '902500737362313236', 'global_name': None, 'display_name_styles': None, 'discriminator': '1294', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'f4901a97bafccdb8296b59c43a758f2a'}, 'attachments': [], 'guild_id': '929250943642505277'}}
[2026-09-17 00:43:15] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-09-17 00:43:15] [DEBUG   ] discord.client: Dispatching event message
[2026-09-17 00:43:15] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/929250944187777106/messages with <aiohttp.formdata.FormData object at 0x0000017117DB1400> has returned 200
[2026-09-17 00:43:15] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (62df3a8bf3cb0dd93018dd80d06039f6).
[2026-09-17 00:43:15] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/929250944187777106/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'Results', 'description': 'yapping shares (2026-09-17)', 'image': {'url': 'https://cdn.discordapp.com/attachments/929250944187777106/1549860736216604742/yapometer.png?ex=6aac3bca&is=6aaaea4a&hm=b31773308b2e90a2b5408f12fb52142fa68525bba4e09e24e39c875ad9492f10&', 'proxy_url': 'https://media.discordapp.net/attachments/929250944187777106/1549860736216604742/yapometer.png?ex=6aac3bca&is=6aaaea4a&hm=b31773308b2e90a2b5408f12fb52142fa68525bba4e09e24e39c875ad9492f10&', 'width': 4800, 'height': 2700, 'content_type': 'image/png', 'placeholder': 'yfcBBIAEykhpmIiXaJX4lZRfaQ==', 'placeholder_version': 1}, 'content_scan_version': 4}], 'timestamp': '2026-09-16T19:13:14.630000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1549860736618991736', 'channel_id': '929250944187777106', 'author': {'id': '902500737362313236', 'username': 'Yapometer', 'avatar': 'f4901a97bafccdb8296b59c43a758f2a', 'discriminator': '1294', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'vad_colors': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '2551638651394960043'}
[2026-09-17 00:43:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-09-16T19:13:44.659000+00:00', 'pinned': False, 'nonce': '13622922245357214713', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1548029471481790559'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-09-11T17:56:27.127000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1549860862569877655', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'Results', 'image': {'width': 4800, 'url': 'https://cdn.discordapp.com/attachments/929250944187777106/1549860862255169596/yapometer.png?ex=6aac3be8&is=6aaaea68&hm=c689a4a0a588fddd784bac782671d815583c82f5ee43fc0086795d08fee6a22b&', 'proxy_url': 'https://media.discordapp.net/attachments/929250944187777106/1549860862255169596/yapometer.png?ex=6aac3be8&is=6aaaea68&hm=c689a4a0a588fddd784bac782671d815583c82f5ee43fc0086795d08fee6a22b&', 'placeholder_version': 1, 'placeholder': 'yfcBBIAEykhpmIiXaJX4lZRfaQ==', 'height': 2700, 'flags': 0, 'description': None, 'content_type': 'image/png'}, 'id': '1549860861722624041', 'description': 'yapping shares (2026-09-17)', 'content_scan_version': 4}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '929250944187777106', 'author': {'vad_colors': None, 'username': 'Yapometer', 'public_flags': 0, 'primary_guild': None, 'id': '902500737362313236', 'global_name': None, 'display_name_styles': None, 'discriminator': '1294', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'f4901a97bafccdb8296b59c43a758f2a'}, 'attachments': [], 'guild_id': '929250943642505277'}}
[2026-09-17 00:43:46] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-09-17 00:43:46] [DEBUG   ] discord.client: Dispatching event message
[2026-09-17 00:43:46] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/929250944187777106/messages with <aiohttp.formdata.FormData object at 0x000001711F30EFD0> has returned 200
